Country_Territory,Name ,Position,img_url
Singapore,Halimah Yacob,President of Singapore,https://upload.wikimedia.org/wikipedia/commons/b/bd/Republic_of_Singapore_President_Halimah_Yacob_witnesses_the_program_proper_during_her_visit_to_the_Philippine_Eagle_Center_in_Davao_City_on_September_11%2C_2019_%28cropped%29.jpg
Singapore,Indranee Rajah ,Minister in the Prime Minister Office,https://www.parliament.gov.sg/images/default-source/default-album/indranee-(1).jpg
Singapore,Grace Foo,Minister of Sustainability and the Environment,https://upload.wikimedia.org/wikipedia/commons/1/14/GraceFu-2010SummerYouthOlympics-20090426-02.jpg
Singapore,Josephine Teo,Minister of Manpower,https://upload.wikimedia.org/wikipedia/commons/b/bd/Josephine_Teo_September_2016_%2829908295102%29.jpg
China,Sun Chunlan,Vice Premier of the People's Republic of China (Since 2018),https://upload.wikimedia.org/wikipedia/commons/b/b5/Sun_Chunlan_%2822551034609%29_%28cropped%29.jpg
China,Shen Yiqin,Governor of Guizhou<br>First female Governor in China,https://i.ibb.co/xzbJHWk/Screenshot-2020-12-03-002204.jpg
Hong Kong,Carrie Lam,Chief Executive of Hong Kong,https://upload.wikimedia.org/wikipedia/commons/a/a1/%E6%9E%97%E9%84%AD%E6%9C%88%E5%A8%A5.jpg
Hong Kong,Laura Cha,Non Official Member of Executive Council of Hong Kong,https://upload.wikimedia.org/wikipedia/commons/8/84/Laura_M._Cha_-_World_Economic_Forum_Annual_Meeting_Davos_2009.jpg
Hong Kong,Sophia Chan Siu-chee,Secretary for Food and Health,https://upload.wikimedia.org/wikipedia/commons/8/84/Sophia_Chan_Siu-chee_20190126.jpg
South Korea,Kang Kyung-wha,Foreign Minister ,https://upload.wikimedia.org/wikipedia/commons/0/0f/Kang_Kyung-wha_-_2019_%2848499197706%29_%28cropped%29.jpg
South Korea,Yoo Eun-hae,Deputy Prime Minister and Minister of Education,https://i.ibb.co/1MZLCWW/Screenshot-2020-12-02-224722.jpg
South Korea,Choo Mi Ae,Minister of Justice,https://upload.wikimedia.org/wikipedia/commons/6/6e/Choo_Mi-ae_2015_panel.jpg
South Korea,Lee Jung Ok,Minister of Gender Equality and Family,https://i.ibb.co/Q93S3K6/Screenshot-2020-12-02-225107.jpg
Japan,Yuriko Koike ,Governor of Tokyo,https://upload.wikimedia.org/wikipedia/commons/8/8f/Yuriko_Koike_cropped.jpg
Japan,Seiko Hashimoto,Minister of State for Tokyo Olympics and Paralympic games,https://upload.wikimedia.org/wikipedia/commons/2/2f/Seiko_hashimoto.png
Japan,Yoko Kamikawa ,Minister of Justice,https://upload.wikimedia.org/wikipedia/commons/6/6d/Yoko_Kamikawa_cropped_2_Taku_Otsuka_Tim_Hitchens_and_Yoko_Kamikawa_20150401.jpg
Australia ,Marise Payne,Minister for Forign Affair and Minister for Women,https://upload.wikimedia.org/wikipedia/commons/5/53/Marise_Payne_October_2015.jpg
Australia ,Anne Ruston,Minister for Family and Social Services,https://upload.wikimedia.org/wikipedia/commons/2/2f/Anne_Ruston_2018-11-21.jpg
Australia ,Linda Reynold,Minister of Defence,https://upload.wikimedia.org/wikipedia/commons/f/f5/Linda_Reynolds_2017-02-23.JPG
Australia ,Karen Andrew,"Minister for Industry, Science and Technology",https://upload.wikimedia.org/wikipedia/commons/e/e2/Karen_Andrews.jpg
Indonesia,Retno Marsudi,Minister of Foreign Affairs,https://upload.wikimedia.org/wikipedia/commons/a/a9/Secretary_Tillerson_Shakes_Hands_With_Indonesian_Foreign_Minister_Marsudi_Before_Their_Meeting_in_Washington_%2834290251502%29_%28cropped%29.jpg
Indonesia,Sri Mulyani Indrawati ,Minister of Finance,https://upload.wikimedia.org/wikipedia/commons/3/39/Finance_Ministry_Sri_Mulyani_Indrawati_2016.jpg
Indonesia,Ida Fauziyah,Minister of Manpower,https://upload.wikimedia.org/wikipedia/commons/6/62/Ida_Fauziyah.jpg
Malaysia,Noraini Ahmad,Minister of Higher Educaion,https://upload.wikimedia.org/wikipedia/commons/7/79/Dr_Noraini_Ahmad_Menteri_Pengajian_Tinggi_Malaysia.jpg
Malaysia,Zuraida binti Kamaruddin,Minister of Housing and Local Government,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.099-AMPANG.png
Malaysia,Nancy binti Shukri ,"Minister of Tourism, Arts and Culture",https://www.parlimen.gov.my/images/webuser/ahli/2013/P.200-BATANG%20SADONG.png
Malaysia,Halimah binti Mohamed Sadique,Minister of National Utility,https://upload.wikimedia.org/wikipedia/commons/d/d2/Halimah_Mohd_Sadique.png
Thailand,Kalaya Sophonpanich,Deputy Minister of Education,https://upload.wikimedia.org/wikipedia/commons/e/e6/Kalaya_Sophonpanich_2009-12-14.jpg
Philippines,Leni Robredo,Vice President,https://upload.wikimedia.org/wikipedia/commons/7/77/VP_Leni_Meeting_with_Pres_Duterte_Cropped_2016.jpg
Philippines,Janet Braganza Abuel,Secretary of Budget and Management,https://upload.wikimedia.org/wikipedia/commons/4/49/Usec_Janet_Abuel_2019_final_%28cropped%29.jpg
Philippines,Leonor Magnolias Briones,Secretary of Education,https://upload.wikimedia.org/wikipedia/commons/5/5c/DepEd_Secretary_Leonor_Magtolis_Briones.jpg
India,Smriti Irani ,Minister of Textiles and Minister of Women and Child Development,https://upload.wikimedia.org/wikipedia/commons/c/c3/The_Union_Minister_for_Textiles_and_Information_%26_Broadcasting%2C_Smt._Smriti_Irani_interacting_with_the_media_regarding_the_cabinet_approval_for_the_Integrated_Scheme_for_Development_of_Silk_Industry%2C_in_New_Delhi_%281%29.jpg
India,Nirmala Sitharaman ,Minister of Finance and Corporate Affairs,https://upload.wikimedia.org/wikipedia/commons/c/c0/The_Minister_of_State_for_Commerce_%26_Industry_%28Independent_Charge%29%2C_Smt._Nirmala_Sitharaman_addressing_a_press_conference%2C_in_New_Delhi_on_October_14%2C_2016.jpg
India,Harsimrat Kaur Badal ,Minister of Food Processing Industry,https://upload.wikimedia.org/wikipedia/commons/d/db/Harsimrat_Kaur_Badal.jpg
United Kingdom,Priti Patel,Home Secretary,https://upload.wikimedia.org/wikipedia/commons/e/e0/Official_portrait_of_Rt_Hon_Priti_Patel_MP_crop_2.jpg
United Kingdom,Liz Truss,International Trade Secretary,https://upload.wikimedia.org/wikipedia/commons/c/c8/Official_portrait_of_Elizabeth_Truss_crop_2.jpg
United Kingdom,Thérèse Ann Coffey,Work and Pensions Secretary,https://upload.wikimedia.org/wikipedia/commons/c/ca/CsHBoP4f.jpg
France,Florence Parly,Minister of the Armed Forces,https://upload.wikimedia.org/wikipedia/commons/d/d2/%28Florence_Parly%29_190907-D-BN624-0170_%2848694393657%29_%28cropped%29.jpg
France,Élisabeth Moreno,"Minister Delegate for Gender Equality, Diversity and Equal Opportunities",https://upload.wikimedia.org/wikipedia/commons/3/3d/%C3%89lisabeth_Moreno_250720.jpg
France,Amélie de Montchalin,Minister of Public Sector Transformation and the Civil Service,https://upload.wikimedia.org/wikipedia/commons/8/81/Am%C3%A9lie_de_Montchalin.jpg
Germany,Angela Merkel,Chancellor of Germany,https://upload.wikimedia.org/wikipedia/commons/b/bf/Angela_Merkel._Tallinn_Digital_Summit.jpg
Germany,Annegret Kramp-Karrenbauer,Federal Minister of Defence,https://upload.wikimedia.org/wikipedia/commons/1/1c/Annegret_Kramp-Karrenbauer_2016_%28cropped%29.jpg
Germany,Christine Lambrecht ,Minister of Justice and Consumer Protection,https://upload.wikimedia.org/wikipedia/commons/2/21/2017-03-19_Lambrecht_Roth_SPD_Parteitag_by_Olaf_Kosinsky-3.jpg
Canada,Chrystia Freeland,"Deputy Prime Minister, Minister of Finance",https://upload.wikimedia.org/wikipedia/commons/1/18/Chrystia_Freeland_MSC_2018_%28cropped%29.jpg
Canada,Melanie Joly,Minister of Economic Development and Official Languages,https://upload.wikimedia.org/wikipedia/commons/2/2a/M%C3%A9lanie_Joly%2C_2019-10-03_version_02.jpg
Canada,Maryam Monsef,Minister for Women and Gender Equality,https://upload.wikimedia.org/wikipedia/commons/2/21/The_Honourable_Maryam_Monsef.jpg
United States,Kamala Harris,Vice President-Elect,https://upload.wikimedia.org/wikipedia/commons/d/d9/Kamala_Harris_official_photo_%28cropped2%29.jpg
United States,Nancy Pelosi,Speaker of the House,https://upload.wikimedia.org/wikipedia/commons/a/a5/Official_photo_of_Speaker_Nancy_Pelosi_in_2019.jpg
United States,Liz Cheney,House Republican Conference Chair,https://upload.wikimedia.org/wikipedia/commons/9/9a/Liz_Cheney_official_116th_Congress_portrait.jpg
New Zealand,Jacinda Arden ,Prime Minister,https://upload.wikimedia.org/wikipedia/commons/b/b6/New_Zealand_Prime_Minister_Jacinda_Ardern_in_2018.jpg
New Zealand,Nanaia Mahuta,Minister of Foreign Affairs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Hon_Nanaia_Mahuta.jpg
New Zealand,Jan Tinetti,Minister for Internal Affairs,https://upload.wikimedia.org/wikipedia/commons/7/7e/Jan_Tinetti.jpg
United Arab Emirates,Reem Al Hashimi,Minister of State for International Cooperation,https://upload.wikimedia.org/wikipedia/commons/e/ef/Reem_Al_Hashimi_%2814218022328%29_%28cropped%29.jpg
United Arab Emirates,HE Hessa Buhumaid,Minister of Community Development,https://emirateswoman.com/wp-content/uploads/2017/11/hessa.jpg
United Arab Emirates,HE Noura Al Kaabi,Minister for Culture and Knowledge Development,https://en.wikipedia.org/wiki/Noura_Al_Kaabi#/media/File:Noura_Al_Kaabi.jpg
